start
11:54:13 up 5:50, 1 user, load average: 0,17, 0,31, 0,69
11:54:15 up 5:50, 1 user, load average: 0,17, 0,31, 0,69
11:54:17 up 5:50, 1 user, load average: 0,40, 0,35, 0,70
11:54:19 up 5:50, 1 user, load average: 0,40, 0,35, 0,70
11:54:21 up 5:50, 1 user, load average: 0,40, 0,35, 0,70
11:54:23 up 5:50, 1 user, load average: 1,01, 0,48, 0,74
11:54:25 up 5:50, 1 user, load average: 1,01, 0,48, 0,74
11:54:27 up 5:50, 1 user, load average: 1,09, 0,50, 0,75
11:54:29 up 5:50, 1 user, load average: 1,09, 0,50, 0,75
11:54:31 up 5:50, 1 user, load average: 1,09, 0,50, 0,75
11:54:33 up 5:50, 1 user, load average: 1,08, 0,51, 0,75
11:54:38 up 5:50, 1 user, load average: 1,00, 0,50, 0,74
11:54:43 up 5:51, 1 user, load average: 0,92, 0,49, 0,74
11:54:48 up 5:51, 1 user, load average: 0,84, 0,49, 0,73
11:54:53 up 5:51, 1 user, load average: 0,77, 0,48, 0,73
11:54:58 up 5:51, 1 user, load average: 0,71, 0,47, 0,72
11:55:00 up 5:51, 1 user, load average: 0,71, 0,47, 0,72
11:55:02 up 5:51, 1 user, load average: 0,74, 0,48, 0,73
11:55:04 up 5:51, 1 user, load average: 0,74, 0,48, 0,73
11:55:08 up 5:51, 1 user, load average: 0,68, 0,47, 0,72
11:55:13 up 5:51, 1 user, load average: 0,78, 0,50, 0,73
11:55:18 up 5:51, 1 user, load average: 1,12, 0,57, 0,75
11:55:23 up 5:51, 1 user, load average: 1,03, 0,56, 0,75
11:55:25 up 5:51, 1 user, load average: 1,03, 0,56, 0,75
11:55:27 up 5:51, 1 user, load average: 1,35, 0,63, 0,77
11:55:29 up 5:51, 1 user, load average: 1,35, 0,63, 0,77
11:55:31 up 5:51, 1 user, load average: 1,80, 0,74, 0,81
11:55:33 up 5:51, 1 user, load average: 1,80, 0,74, 0,81
11:55:35 up 5:51, 1 user, load average: 1,80, 0,74, 0,81
11:55:37 up 5:51, 1 user, load average: 2,22, 0,84, 0,84
11:55:39 up 5:52, 1 user, load average: 2,22, 0,84, 0,84
11:55:41 up 5:52, 1 user, load average: 2,68, 0,96, 0,88
11:55:44 up 5:52, 1 user, load average: 2,68, 0,96, 0,88
11:55:46 up 5:52, 1 user, load average: 2,68, 0,96, 0,88
11:55:48 up 5:52, 1 user, load average: 2,87, 1,03, 0,90
11:55:50 up 5:52, 1 user, load average: 2,87, 1,03, 0,90
11:55:52 up 5:52, 1 user, load average: 3,20, 1,13, 0,93
11:55:54 up 5:52, 1 user, load average: 3,20, 1,13, 0,93
11:55:56 up 5:52, 1 user, load average: 3,20, 1,13, 0,93
11:55:58 up 5:52, 1 user, load average: 3,26, 1,18, 0,95
11:56:00 up 5:52, 1 user, load average: 3,26, 1,18, 0,95
11:56:02 up 5:52, 1 user, load average: 3,64, 1,29, 0,99
11:56:04 up 5:52, 1 user, load average: 3,64, 1,29, 0,99
11:56:06 up 5:52, 1 user, load average: 3,64, 1,29, 0,99
11:56:08 up 5:52, 1 user, load average: 3,91, 1,39, 1,02
11:56:10 up 5:52, 1 user, load average: 3,91, 1,39, 1,02
11:56:12 up 5:52, 1 user, load average: 3,60, 1,36, 1,02
11:56:14 up 5:52, 1 user, load average: 3,60, 1,36, 1,02
11:56:16 up 5:52, 1 user, load average: 3,60, 1,36, 1,02
11:56:18 up 5:52, 1 user, load average: 4,03, 1,49, 1,06
11:56:20 up 5:52, 1 user, load average: 4,03, 1,49, 1,06
11:56:22 up 5:52, 1 user, load average: 4,59, 1,65, 1,11
11:56:24 up 5:52, 1 user, load average: 4,59, 1,65, 1,11
11:56:26 up 5:52, 1 user, load average: 4,59, 1,65, 1,11
11:56:28 up 5:52, 1 user, load average: 5,42, 1,87, 1,19
11:56:30 up 5:52, 1 user, load average: 5,42, 1,87, 1,19
11:56:32 up 5:52, 1 user, load average: 5,07, 1,86, 1,18
11:56:34 up 5:52, 1 user, load average: 5,07, 1,86, 1,18
11:56:37 up 5:52, 1 user, load average: 4,90, 1,87, 1,19
11:56:39 up 5:52, 1 user, load average: 4,90, 1,87, 1,19
11:56:41 up 5:53, 1 user, load average: 4,90, 1,87, 1,19
11:56:43 up 5:53, 1 user, load average: 4,51, 1,84, 1,19
11:56:45 up 5:53, 1 user, load average: 4,51, 1,84, 1,19
11:56:47 up 5:53, 1 user, load average: 4,15, 1,81, 1,18
11:56:49 up 5:53, 1 user, load average: 4,15, 1,81, 1,18
11:56:51 up 5:53, 1 user, load average: 4,15, 1,81, 1,18
11:56:53 up 5:53, 1 user, load average: 3,82, 1,78, 1,17
11:56:55 up 5:53, 1 user, load average: 3,82, 1,78, 1,17
11:56:57 up 5:53, 1 user, load average: 3,51, 1,75, 1,17
11:56:59 up 5:53, 1 user, load average: 3,51, 1,75, 1,17

start
12:44:57 up 6:41, 1 user, load average: 1,55, 0,52, 0,26
12:44:59 up 6:41, 1 user, load average: 1,42, 0,51, 0,25
12:45:01 up 6:41, 1 user, load average: 1,42, 0,51, 0,25
12:45:03 up 6:41, 1 user, load average: 1,42, 0,51, 0,25
12:45:05 up 6:41, 1 user, load average: 1,31, 0,50, 0,25
12:45:08 up 6:41, 1 user, load average: 1,31, 0,50, 0,25
12:45:10 up 6:41, 1 user, load average: 1,20, 0,49, 0,25
12:45:14 up 6:41, 1 user, load average: 1,11, 0,49, 0,25
12:45:19 up 6:41, 1 user, load average: 1,02, 0,48, 0,25
12:45:21 up 6:41, 1 user, load average: 1,02, 0,48, 0,25
12:45:24 up 6:41, 1 user, load average: 1,10, 0,50, 0,26
12:45:26 up 6:41, 1 user, load average: 1,10, 0,50, 0,26
12:45:28 up 6:41, 1 user, load average: 1,10, 0,50, 0,26
12:45:34 up 6:41, 1 user, load average: 1,00, 0,50, 0,26
12:45:39 up 6:42, 1 user, load average: 0,92, 0,49, 0,26
12:45:41 up 6:42, 1 user, load average: 0,92, 0,49, 0,26
12:45:49 up 6:42, 1 user, load average: 0,85, 0,49, 0,26
12:45:54 up 6:42, 1 user, load average: 0,78, 0,49, 0,26
12:45:56 up 6:42, 1 user, load average: 0,78, 0,49, 0,26
12:45:59 up 6:42, 1 user, load average: 0,72, 0,48, 0,26
12:46:04 up 6:42, 1 user, load average: 0,66, 0,47, 0,26
12:46:09 up 6:42, 1 user, load average: 0,61, 0,46, 0,26
12:46:14 up 6:42, 1 user, load average: 1,60, 0,67, 0,33
12:46:17 up 6:42, 1 user, load average: 1,60, 0,67, 0,33
12:46:19 up 6:42, 1 user, load average: 2,19, 0,81, 0,37
12:46:21 up 6:42, 1 user, load average: 2,19, 0,81, 0,37
12:46:24 up 6:42, 1 user, load average: 2,19, 0,81, 0,37
12:46:26 up 6:42, 1 user, load average: 2,82, 0,96, 0,42
